EstimatedTimeToMaster;TimeSpent;Source;StartLearningDate;InProgress;CompletionDate;AlreadyStudied;TasksRelatedToTopic;id;Title;Description
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;0;a;1
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;TRUE;0;1;aa;2
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;2;aaa;3
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;3;aah;4
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;4;aahed;5
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;5;aahing;6
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;6;aahs;7
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;7;aal;8
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;8;aalii;9
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;9;aaliis;10
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;10;aals;11
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;TRUE;0;11;aam;12
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;12;aani;13
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;13;aardvark;14
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;14;aardvarks;15
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;15;aardwolf;16
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;16;aardwolves;17
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;17;aargh;18
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;18;aaron;19
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;19;aaronic;20
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;20;aaronical;21
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;TRUE;0;21;aaronite;22
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;22;aaronitic;23
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;23;aarrgh;24
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;24;aarrghh;25
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;25;aaru;26
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;26;aas;27
10;0;web;01/01/0001 0.00.00;FALSE;01/01/0001 0.00.00;FALSE;0;27;aasvogel;28
